TV,Radio,Jornal,Vendas,Nova Coluna,Media Vendas
193.2,18.4,65.7,20.2,40.4,92.43333333333334
76.3,27.5,16.0,12.0,24.0,39.93333333333333
110.7,40.6,63.2,16.0,32.0,71.5
88.3,25.5,73.4,12.9,25.8,62.4
109.8,47.8,51.4,16.7,33.4,69.66666666666667
134.3,4.9,9.3,14.0,28.0,49.50000000000001
28.6,1.5,33.0,7.3,14.6,21.033333333333335
217.7,33.5,59.0,19.4,38.8,103.39999999999999
250.9,36.5,72.3,22.2,44.4,119.89999999999999
107.4,14.0,10.9,11.5,23.0,44.1
163.3,31.6,52.9,16.9,33.8,82.60000000000001
197.6,3.5,5.9,16.7,33.4,69.0
184.9,21.0,22.0,20.5,41.0,75.96666666666667
289.7,42.3,51.2,25.4,50.8,127.73333333333333
135.2,41.7,45.9,17.2,34.4,74.26666666666667
222.4,4.3,49.8,16.7,33.4,92.16666666666667
296.4,36.3,100.9,23.8,47.6,144.53333333333333
280.2,10.1,21.4,19.8,39.6,103.89999999999999
187.9,17.2,17.9,19.7,39.4,74.33333333333333
238.2,34.3,5.3,20.7,41.4,92.60000000000001
137.9,46.4,59.0,15.0,30.0,81.10000000000001
25.0,11.0,29.7,7.2,14.4,21.900000000000002
90.4,0.3,23.2,12.0,24.0,37.96666666666667
13.1,0.4,25.6,5.3,10.6,13.033333333333333
255.4,26.9,5.5,19.8,39.6,95.93333333333334
225.8,8.2,56.5,18.4,36.8,96.83333333333333
241.7,38.0,23.2,21.8,43.6,100.96666666666665
175.7,15.4,2.4,17.1,34.2,64.5
209.6,20.6,10.7,20.9,41.8,80.3
78.2,46.8,34.5,14.6,29.2,53.166666666666664
75.1,35.0,52.7,12.6,25.2,54.26666666666667
139.2,14.3,25.6,12.2,24.4,59.699999999999996
76.4,0.8,14.8,9.4,18.8,30.666666666666668
125.7,36.9,79.2,15.9,31.8,80.60000000000001
19.4,16.0,22.3,6.6,13.2,19.233333333333334
141.3,26.8,46.2,15.5,31.0,71.43333333333334
18.8,21.7,50.4,7.0,14.0,30.3
224.0,2.4,15.6,16.6,33.2,80.66666666666667
123.1,34.6,12.4,15.2,30.4,56.699999999999996
229.5,32.3,74.2,19.7,39.4,112.0
87.2,11.8,25.9,10.6,21.2,41.63333333333333
7.8,38.9,50.6,6.6,13.2,32.43333333333333
80.2,0.0,9.2,11.9,23.8,29.8
220.3,49.0,3.2,24.7,49.4,90.83333333333333
59.6,12.0,43.1,9.7,19.4,38.23333333333333
0.7,39.6,8.7,1.6,3.2,16.333333333333332
265.2,2.9,43.0,17.7,35.4,103.69999999999999
8.4,27.2,2.1,5.7,11.4,12.566666666666668
219.8,33.5,45.1,19.6,39.2,99.46666666666668
36.9,38.6,65.6,10.8,21.6,47.03333333333333
48.3,47.0,8.5,11.6,23.2,34.6
25.6,39.0,9.3,9.5,19.0,24.63333333333333
273.7,28.9,59.7,20.8,41.6,120.76666666666665
43.0,25.9,20.5,9.6,19.2,29.8
184.9,43.9,1.7,20.7,41.4,76.83333333333333
73.4,17.0,12.9,10.9,21.8,34.43333333333334
193.7,35.4,75.6,19.2,38.4,101.56666666666666
220.5,33.2,37.9,20.1,40.2,97.19999999999999
104.6,5.7,34.4,10.4,20.8,48.23333333333333
96.2,14.8,38.9,12.3,24.6,49.96666666666667
140.3,1.9,9.0,10.3,20.6,50.400000000000006
240.1,7.3,8.7,18.2,36.4,85.36666666666667
243.2,49.0,44.3,25.4,50.8,112.16666666666667
38.0,40.3,11.9,10.9,21.8,30.066666666666666
44.7,25.8,20.6,10.1,20.2,30.366666666666664
280.7,13.9,37.0,16.1,32.2,110.53333333333332
121.0,8.4,48.7,11.6,23.2,59.366666666666674
197.6,23.3,14.2,16.6,33.2,78.36666666666666
171.3,39.7,37.7,16.0,32.0,82.89999999999999
187.8,21.1,9.5,20.6,41.2,72.8
4.1,11.6,5.7,3.2,6.4,7.133333333333333
93.9,43.5,50.5,15.3,30.6,62.63333333333333
149.8,1.3,24.3,10.1,20.2,58.466666666666676
11.7,36.9,45.2,7.3,14.6,31.266666666666666
131.7,18.4,34.6,12.9,25.8,61.56666666666666
172.5,18.1,30.7,16.4,32.8,73.76666666666667
85.7,35.8,49.3,13.3,26.6,56.93333333333334
188.4,18.1,25.6,19.9,39.8,77.36666666666666
163.5,36.8,7.4,18.0,36.0,69.23333333333333
117.2,14.7,5.4,11.9,23.8,45.76666666666667
234.5,3.4,84.8,16.9,33.8,107.56666666666666
17.9,37.6,21.6,8.0,16.0,25.7
206.8,5.2,19.4,17.2,34.4,77.13333333333334
215.4,23.6,57.6,17.1,34.2,98.86666666666667
284.3,10.6,6.4,20.0,40.0,100.43333333333334
50.0,11.6,18.4,8.4,16.8,26.666666666666668
164.5,20.9,47.4,17.5,35.0,77.60000000000001
19.6,20.1,17.0,7.6,15.2,18.900000000000002
168.4,7.1,12.8,16.7,33.4,62.76666666666667
222.4,3.4,13.1,16.5,33.0,79.63333333333334
276.9,48.9,41.8,27.0,54.0,122.53333333333332
248.4,30.2,20.3,20.2,40.4,99.63333333333334
170.2,7.8,35.2,16.7,33.4,71.06666666666666
276.7,2.3,23.7,16.8,33.6,100.89999999999999
165.6,10.0,17.6,17.6,35.2,64.39999999999999
156.6,2.6,8.3,15.5,31.0,55.833333333333336
218.5,5.4,27.4,17.2,34.4,83.76666666666667
56.2,5.7,29.7,8.7,17.4,30.533333333333335
287.6,43.0,71.8,26.2,52.4,134.13333333333335
253.8,21.3,30.0,17.6,35.2,101.7
205.0,45.1,19.6,22.6,45.2,89.89999999999999
139.5,2.1,26.6,10.3,20.6,56.06666666666666
191.1,28.7,18.2,17.3,34.6,79.33333333333333
286.0,13.9,3.7,20.9,41.8,101.19999999999999
18.7,12.1,23.4,6.7,13.4,18.066666666666666
39.5,41.1,5.8,10.8,21.6,28.799999999999997
75.5,10.8,6.0,11.9,23.8,30.766666666666666
17.2,4.1,31.6,5.9,11.8,17.633333333333333
166.8,42.0,3.6,19.6,39.2,70.8
149.7,35.6,6.0,17.3,34.6,63.76666666666666
38.2,3.7,13.8,7.6,15.2,18.566666666666666
94.2,4.9,8.1,14.0,28.0,35.733333333333334
177.0,9.3,6.4,14.8,29.6,64.23333333333333
283.6,42.0,66.2,25.5,51.0,130.6
232.1,8.6,8.7,18.4,36.8,83.13333333333333
